text,rat,date
3번정도 계속 다운로드하라고하네요... 그리고 계속 게임 끝나면 재로딩 멈춰서 게임을 끄고 다시들어와야되요.... 좀 고쳐주세요,2,2022년 3월 18일
제가 좀 늦게 승차한 플레이어인데 캐릭터 기본 스펙올리는게 너무 힘들어요 꾸준히해서는 단기간에 올리기 힘들고 지인짜 오래해야 올릴 수 있기에 각성에 문턱이 너무 높아서 조금씩 힘들어지고 있습니다... 제 캐릭터들이 좀 더 쉽게 성장할 수 있게끔 보상시스템이나 새로운 콘텐츠들이 좀 나와야할거같아요 뭔가 이제 할게 없어요 계정 레벨 상한치도 너무 낮고 제단도 25렙 밖에 못올리니깐 선택의 폭도 좁고 좀 더 늘려서 제단에 투자를 더 할 수 있게 하는게 낫지않을까 싶네요 결론은 재밌지만 가면 갈수록 할게 없어지고 성장도 너무 더뎌지고 있어서 슬 질립니다.. ㅠㅠ,5,2022년 3월 4일
킹갓캐슬 올드유저입니다. 최근들어 게임실행시 화면 멈춤현상이 심해도 너무 심해서 몇번을 게임 재실행을 해야만 됩니다. 광고도 좋지만 이런점도 개선좀 부탁드릴게요. 게임한번 접속하기가 너무힘드네요,5,2022년 3월 14일
재미있네요 이렇게 좋은 게임을 만들어주셔서감사합니다 근대 아쉬움이있네요 캐릭터들이 업그래이드해도 약해요ㅠㅠ그래서 아쉽습니다,5,2022년 3월 18일
게임이 집중이 잘되고 작전? 전략 같은걸 짜서 하니 재미있긴 재미있습니다. 하지만 1스테이지는 어떻게 어떻게 깼는데 2스테이지에 보스부터 너무 강해집니다.. 초반에 뭘 더 할수도 없고 자원도 충분하지 않아서 저 같은 시작한지 별로 안된 사람들에게는 너무 어려운것 같습니다....,4,2022년 3월 4일
"지금 버그인진 모르겠지만 아레나를 끝낸뒤 자꾸 화면이 멈춰서 재접속을 해야합니다.너무 불편합니다 빨리고쳐주세요,,,",2,2022년 3월 20일
최근에 게임을 클리어하고 메인 화면으로 돌아올때 게임이 멈추더군요 게임을 종료하고 다시 키면 클리어 보상이 사라집니다 어떡해 해야 하나요,4,2022년 3월 10일
저기....게임은 다 좋은데 들어갈때좀비고로들어가지고 다음 좀비고에서 나오고 다시들어가야 되더라고요 제가 좀비고를 하는유저여서 그런지.... 조금거슬려요.... 이거봐주시면 감사하겠습니다,5,2022년 3월 6일
"하....보석 보급 7500원 패키지 사고 식량 한번 샀는데 구매가 안돼서 나갔다 들어오니 204다이아 에서 104 다이아가 됬네요? 게임 운영,버그 관리좀 하세요 그리고 빠른 복구 부탁 드립니다.",2,2022년 3월 13일
다이아가 계속 사라지는거같은데 혹시 구매내역 확인할수 있나요? 제가 사라지는걸 느낀게ㅜ처음이 아니라서 제 실수일수도 있기때문에 요청드립니다.,3,2022년 3월 5일
진짜 너무 재밌어요!! 제가 이런 디펜스게임을 좋아하거든요. 캐릭터들도 예쁜거 같고 그렇게 어렵진 않은것 같은데 신규 캐릭터 뽑기가 잘안되긴 해도 너무재밌는거 같아요,5,2022년 2월 26일
재미있긴한데 뭔가 주는것도 허전하고 뭔가 다른게임들은 퍼주는게 하나씩은 있는데 이건 아예 없는것 같아 아쉽네요.,3,2022년 3월 4일
실시간 업데이트는 사용자가 제일 적은 시간대에 부탁드립니다 게임하다 갑자기 튕겨서는 이게 무슨일입니까 진짜;;,3,2022년 3월 18일
나름 재밌는 것 같음. 하다가 이제 중반쯤 가면 신캐를 더럽게 안 주는데 그거를 버티면 재밌음. 근데 가끔 캐릭터 스킬이 구릴 때가 많음,5,2022년 3월 3일
아직 많이 안해봤지만 노골적인 과금 없고 요즘 다 자동사냥 위주인데 식량소모 늘려서 가끔 하는 사람도 커버가능하고 재미있게 하고 있습니다 만족,5,2022년 3월 4일
다 좋은데 겜을 한번 하고 나면 렉이 걸려서 안 움직임 그래서 자꾸 나갔다가 들어와야 함;;,4,2022년 3월 18일
정말 해도해도 질리지않는게임입니다 돈으로 뽑기만 해도 혜자예요!! :),5,2022년 3월 18일
금화를 너무안줘서 레벨업하기도 어려움.. 몬스터가 너무강함.. 1티어뽑아도 렙업이어려우니.. 진도가잘안나감,4,2022년 3월 3일
"실 플레이시간 30시간 플레이 결과 매판 아이템으로 인해 전략을 다르게 짤 수 있고 진영을 줄여 캐릭터의 등급을 높게해 클리어 할 수도 있다. 다만 재화 노가다가 있지만, 개인적으로 재화 노가다로 여러 전략도 만들어보게 되기 때문에 필요하다고 생각되었고 아쉬운 점은 재화던전을 제외한 습격 및 잠식에서 실패를 해도 보상은 주지만 보상을 안주고 한번 더 도전할 수 있게 하는 것이 더 좋았다고 생각된다. 소과금(?) 정도하기 나쁘지 않은 게임",5,2022년 3월 13일
캐릭강화해야하는데 골드도 안벌리고 뽑기해도 캐릭이 안나옴 그렇다고 뽑기재화도 잘주느냐하면 그것도아님 결국 게임시작 30분만에 3챕터에서 바로막힘 무과금유저는 할방법이 없음. 진행을 하려면 새로운 캐릭터를 뽑아야하는데 도전으로 보석회수하려고하면 지금 있는캐릭 성장이안되서 결국 플레이가 안됨. 악순환의 반복이라 막시작하려는 무과금 유저들은 플레이불가. 지금하고있는 유저들은 광고때 리세마라로 캐릭뽑고 시작한사람들이거나 과금러들이라 지금 해볼까하는 사람은 그냥 뒤로가기 누르는걸 추천.,1,2022년 3월 7일
게임에대해서 장점과 단점이 확실히 구분이 되는게임 장점: 다른 전략게임에 비해 은근히 무과금도 쉽게 접근할수있고 한 캐릭터가 치중되지않고 다양하게 맞출수가 있다. 단점: 하지만 다른게임과 비슷하게 꼭 뽑아야 하는 캐릭터를 뽑지 않으면 스테이지 밀기가 은근히 힘들고 레벨작도 컨텐츠 하나가 있지만 뭔가 많이 뽑을수 있는 시스템 필요함 하지만 이정도면 게임자체의 메리트가 확실히 있고 재밌게 즐길수 있음,4,2022년 3월 7일
"이건 갓겜입니다 이유는 광고를봐야 플레이를 할수있게 만들지 않았구 게임이 시작 안돼는 버그가 있을때 보상도 잘해줬습니다. 아쉽운 점은 계속 똑같은걸합니다 그거만 고치면 모두 완벽합니다 그리고 좀비고,도와줘 엔즈!도 추천합니다 그 게임들도 어썸피스에서 만든 갓게입니다.",4,2022년 2월 27일
무과금인데 챕터9까지 깼어요 난이도도 쉽고 캐릭터도 매력있고 스킨들은 더더욱 매력있고 너무 재밌어요,5,2022년 3월 18일
너님들 수준이 그냥 거기인거임 ㅇ 현질 안 하고도 10챕터까지 진행 가능함 난이도는 문제가 1도 없음 불평은 님들 실력에다 하셈,5,2022년 3월 18일
"뉴비 혐오하는 게임 같아요. 게임 초반에 플레이 할 수 있도록 스테미너를 주는건 좋은데, 뉴비가 실패를 하는것에 가차 없어요. 스테미너는 10분에 1개씩 나와 실패 여러번하거나 후퇴하면 보상 자체가 없구요. 심지어는 스테미너가 소비된단 얘기가 따로 있지도 않았더군요... 진짜 뉴비가 실수하거나 실패하는건 가차 없는 게임이에요...",1,2022년 3월 1일
살면 처음 꾸준히 패스권 사는게임. 무과금도 꾸준히 하면 어지간한거 다맞출수있음. 살짝 아쉬운건 컨텐츠가 모자란 느낌이지만 운영진이 꾸준히 피드백으로 잘업데이트 해줘서 정말 오래 정붙이고 할만한겜을 찾은거 같음 엄청나게 추천합니다,5,2022년 3월 4일
게임은 재밌어요 근데 서버오류가 너무많아요 많아도 너무많아요 짱많아요 개많아요 암걸릴정도,2,2022년 3월 18일
처음 몇시간은 분명히 재미있다. 다만 자원수급이 좀 짜고 그렇다보니 같은걸 좀 많이 반복하게 되서 지루하게 느껴지게 됨.,4,2022년 2월 26일
신규 영웅은 계속해서 나오는데 소환서에서 나올 확률은 표기기준 타 가챠겜에 비해 최악의 수준.. 기존껄로도 어느정도는 돌 수 있지만 한계가 명확해짐,1,2022년 3월 4일
입문쉬운 오토체스 장르라고 보면 편하다 공식카페가 그나마 정보를 얻기 쉬우며 리세마라 안하면 솔직히 7챕터부터 난이도 수직상승해서 특정 영웅 없으면 게임 접거나 6챕 노가다나 돌리는 게임이며 오래오래 할거면 상점에서 op영웅뜨는거나 기다리면된다,1,2022년 3월 18일
"게임성 최강, 근데 UI가 너무 자주바뀌는 감이 있어서 적응하기 힘듦",5,2022년 3월 18일
업뎃해서 전투 화면 따로 되는 게 너무 불편해요.. 그냥 업뎃하기 전으로 해주셨으면 좋겠어요.. 너무 불편함...ㅠㅠㅠㅠ,3,2022년 3월 13일
지금계속 한판하면 다운되는 현상이 반복되네요 패치 부탁합니다,3,2022년 3월 19일
"이게 뭐죠? 광고가 너무 많고 제가 업데이트 하고 다시 들어갔는데 지금 50번째 업데이트를 하라고 하네요 그데다가 지웠다가 다시 깔아서를6번 반복했는데 로그인이 계속실패 한다 그러내요?이거는 업데이트 할때 이런 문제도 같이 없애야 하는것 아닌가요,? 저는 그래서 이 겜을 접을려고 합니다. 다른 분들도 안되신다면 접거나 어썸피스에 문의 남기세요😡",1,2022년 3월 6일
잘 하고 있는데 2월 17일부터 갑자기 상점 정보를 불러올수 없다며 접속이 안되는데 어떡해야 하나요,5,2022년 3월 5일
재미는 있는데 킹갓패스를 샀거든요? 근데 돈만빠져나가고 아무것도 안들어왔어요 환불해주세요,3,2022년 3월 16일
아 진짜 개박치네.. 한판 끝나면 겜화면 멈추고 또 껏다키고 또 끝나면 멈추고 이 반복을 몇번을 하는지 모르겠네요 해결좀 해주세요 게임 한판하고 껏다켰다 몇번을 하는지 모르겠습니다 게임성 과금성 자체는 좋은데 이런 자잘한 버그좀 고쳐주세요,1,2022년 3월 11일
초반에 좀 어렵지만 공략도 잘 되어있고 깨는맛도 있고 아주 재밌습니다 ㅎㅎㅎ,5,2022년 3월 3일
재밌습니다 버그에대한 보상도 확실하고 난이도도 잘 맞춰져 있어서 맘에들어요,5,2022년 2월 26일
초반이 좀 지난한데 굳이 과금안해도 만렙찍는데 문제없다 과금 하더라고 패스정도만 사도 충분함 /정정 패치돼서 과금 안하면 겁나약하고 오래걸리게됐음,2,2022년 3월 18일
"식량 최대보유 80개에서 60개로 다운그레이드 한 이유좀? 게임 후퇴하네ㅋㅋㅋ 상인방문 획득에서 광고보기?ㅋㅋㅋ 진짜 다운그레이드 한다, 쿠폰이나 만들어 뿌려! 뭐하냐",3,2022년 3월 3일
발열현상이랑 챕터를 끝내고 로비로 올때 멈추는 현상만 고쳐주시면 좋을거 같아요,3,2022년 3월 6일
재화수급이 좀 빡세지만 충분히 무과금도 충분히 노력으로 할수있습니다.,5,2022년 3월 14일
재밌어요 우편함 받고 재접 안할 시 바로 적용 안되는 것 같은 잔버그만 고쳐주시면 좋겠습니다,5,2022년 2월 25일
"1. 앱플레이어보다 모바일이 더 편한 모바일 최적화 게임. 2. 많지 않은, 혹은 무과금으로도 즐길수 있는 게임. 3. 게임의 볼륨은 많지 않음. 4. 스테이지 난이도는 중반 이후로 급상승. 5. 캐릭터 밸런스 문제가 있긴한데 오히려 강한 캐릭터 위주로만 강화하면 된다는 장점이 있음. 6. 다른 강화요소로 유물강화가 있는데 습득 난이도는 낮지만 강화에 필요한 재화가 많아서 사실상 종결유물급 강화가 엔드컨텐츠로 보임. 7. PvP 대전모드는 재화얻기가 편하지만 10판마다 새로 진영구성을 해야해서 귀찮은 부분이 존재. 8. 모든 숙제를 붙잡고 하면 귀찮지만 보상이 좋다. 하지만 고기(스테미너 or 피로도)만 소모해도 강해지는데 지장이 없음. 9. 본 리뷰는 2달 플레이 이후에 작성. 추가작성. 레벨확장 이후에 신규유저들의 천장은 더 높아짐.",5,2022년 1월 3일
게임은 재밌는데요 좀비고 킹갓캐슬 라이더 보상을 안주시네요 1챕터 깨고 혹시몰라 도전도하고 찾아봤는데 안주시네요 고쳐주시죠 화딱지 이마이 났습니다,3,2022년 3월 1일
그냥 게임이 재미있어서 보고 깔까 말까 고민하고 있다면 바로 깔아서 해보시길,5,2022년 3월 6일
님들 이거 무조건 하세요 진짜 인생겜 처음 표지만 보고 노잼 잼민이 겜 ㅋㅋ이거 왜하누 생각들수도있는데 저 고딩인데 개꿀잼이네요 미띤 롤보다 재밌누,5,2022년 3월 12일
게임은 취향인데 상점 정보를 못 찾는다며 실행 안됩니다. 만일 정검시간이라면 정검중 메시지를 뛰워주시길 바랍니다 2022ㅣ02ㅣ20 오늘은 '준비끝게임을시작합니다'에서 멈추네요. 정검이든 업데이트든 있으면 어플 실행시 메시지 띄워주세요. 열댓번 계속 껏다 켰다 하다가 평가 깍으러 왔습니다 2022 ㅣ 02 ㅣ 20 오늘은 정검중이라고 뜨네요. 평가 올리러 왔습니다.,5,2022년 2월 22일
게임도 재밌고 나름 괜찮은데....종종 보상으로 나오는 아이템들에 대한 설명이 너무 아쉽습니다ㅠㅠ직접 찾아보면서 이게 어떤거구나 찾아야한다는게....설명이 없어서...예를들면 스크롤에서 나오는 훈장들이 어떤곳에 사용되는지 눌렀을때 알 수 있으면 좋을것같아요,4,2022년 1월 14일
"1월 23일 업데이트 이후 로그인 화면에서 새로운 컨텐츠가 업데이트 되었다는 화면만 반복하여 뜨면서 게임안에 진입이 되지 않습니다. 오늘 업데이트 과정도 완료하였고, 게임을 삭제했다가 재설치도 해보았습니다. 게임 진입과정에서 문제가 발생한것 같아 빠른 시일 내로 조치를 해주셨으면 좋겠습니다.",3,2022년 1월 23일
"무과금에서 소과금도 재밌게 즐길 수 있고, 경험이 늘어나거나 공략을 봐서 무언가를 성취하면 기분이가 매우 좋다. 게임이 세로로 되어 있어서 하기도 편하고 무기와 영웅을 조합하면서 스테이지가 지날수록 점점 강해지는 것도 재밌다. 의아하면서 깔았었는데 후회안함",5,2022년 1월 8일
저는ㅡ 충분히 5개줄수있는 겜이라고 생각합니다ㅏ이유는 보상이 초반이라그런지 정말 많구요ㅡ또한 게임 자체가 할것도 많고 굳이 현질을 안하더라도 충분히 캐릭터를 많이 얻을수도 있습니다. 저는 추천 해드립니다ㅏ 그리고 챕터1까지 깨면 좀고 라이드 보상도 줍니다ㅏ^^,5,2022년 2월 21일
"재밌고 과금 유도도 그리 심하지 않아서 좋은데 업뎃할때마다 버그가 생기는거 같아서 아쉬움. 오늘 업뎃 받고 나서부터 시작화면에서 자꾸 멈추고, 겨우 들어가서 보면 챕터8 가고일 석상 회복 기간에 원래 상호작용 안되야하는데 석상 쉬고 있는 도중에도 공격해서 영웅들한테 딜 들어가고..",4,2022년 1월 15일
전략게임인데도 게임이 잘 안된다고 하시는분들은 한번 전략을 바꿔보세요. 그리고 원거리 딜러가 나오면 게임 진행이 안된다고 하시는 분이 계시는데 원거리 딜러가 안나오면 오히려 게임 진행이 더 안되실겁니다. 그리고 한시 뽑고 한시로 플레이 하시면 게임이 좀 많이 쉬울거에용,5,2022년 1월 14일
게임은 즐겁게 즐기는중인데 로그인 인증오류가 떠서 최근에 할수가 없네요 계속 새 버전이 나왔다는데 업데이트도 다 했고 다시 깔아도 이러네요... 해결 방법 없을까요?,5,2022년 1월 14일
"게임을 재미있게 즐기던 올드 유저입니다. 잘 플레이하던 어느날 진행도가 몇달 전으로 돌아간 일이 있어 복구했었지만 유물, 아레나 등 일부는 완벽히 돌아오지는 않았습니다. 그럼에도 이런 버그가 점점 줄고 게임도 재미가 있기에 아직도 접지않고 즐기고 있습니다. 5점드리겠습니다. 버그 많이 고쳐주길 바라겠습니다.",5,2022년 1월 23일
정말 재밌어요! 게임이 팅겨도 재접속이 가능하고보상을뽑거나살때 쾌감까지! 제가 좋아하는 게임2위! 챕터도9까지있고 렙업하고 강화한 매력도 잘줘요! 그리고 챕터1을 깨면 좀비고 라는게임에서 공짜라이드(5%속도)도 지급! 라이드도 개성이있어 좋아요! 이게임 정밀최고입니다!,5,2022년 2월 24일
"이게임 문제점이 좀 있습니다. 1. Ui 어떤 버튼이 어디있는지 찾기 힘듭니다. 특히 경험치의서는 어떻게쓰는것인지 한참뒤에나 찾았네요. 2. 너무 루즈함. 골드의 수급 방법이 제한적 인데다. 같은 던전만 수십차례 재 진행 하는것은. 게임을 늘어지게 만들어 루즈하게만드는것을 느꼈습니다. 3. 초반랜덤성과 초반스팩업의 어려움 캐릭터를 골라 조합을짜기 어려운 극초반의경우 캐릭터를뽑는 랜덤성에 너무 크게 좌지우지됩니다. 골드를벌기도 어려워, 캐릭터의 업그레이드도 힘든편이라 초반 유저의 스팩업에 너무 많은 회차가 요구되더군요.. 이런점을 안고있더라도 확실히 요소들을잘 조합해만든게임입니다. 다만 저런점들을 조금씩 개선한다면좋겠네요d",4,2022년 2월 6일
"무과금임에도 성장속도나 패스 한정스킨이 없는거 제외하면 차이가 없습니다. 다이아는 패스를 진행하거나 업적을 달성하거나 출석체크, 이벤트상점에서 벌 수 있고 이벤트 자체도 자주해서 부족함은 없지만 아주 결정적인 문제는.... 계정레벨을 끝까지 올려도 추가적인 보상은 없습니다... 만렙을 찍어도 경험치가 안들어온다는것을 제외하면 보상에 차이가 없습니다. 그러니까 쉽게말해서 만렙찍으면 게임완료 보상에 골드라도 좀 끼워주십쇼",4,2022년 1월 14일
현재 버그픽스하신것 같은데 챕터 8 뱀파이어 스테이지 진행 중 발견한 오류가 있습니다. 가고일 석상상태에서 무적상태이고 공격을 안해야하는데 무적상태에서 공격하는 버그가 있네요,4,2022년 1월 14일
"게임 난이도 밸런스가 스테이지 초반이 빡셈(난이도 올리면 진영이랑 은화도 초반에 늘려줘요) 현질하면 강해지긴함 (캐릭터경험치 많이줌 + 골드구입) 안해도 꾸준히해서 강해지기 좋아서 현질 자유도가 높은 좋은게임, 근데 스타터팩이랑 던전팩 가성비 좀만 더 높여주면 구매할텐데 뭔가 구매하기가 망설여짐, '엥 이 아이템이면 이 가격이 오히려 비싼거 아닌가..' 싶은 생각이 듬 스타터팩이랑 던전팩 가성비 조금만 높여주세유",5,2022년 2월 16일
"게임 소액 과금하면서 재밌게 즐기고있습니다. 근데 인게임 내 광고보기(식량, 골드 등) 클릭하면 사운드가 먹통이 되고 아무런 반응이 없습니다. 게임 플레이는 그대로 진행 되고요, 물론 광고보기 보상은 이루어지지 않습니다. 해당 오류 관련해서 피드백 및 오류개선 업데이트 부탁드립니다.",5,2022년 2월 17일
흔한 오토체스류와 랜덤디펜스류 게임을 적절히 잘 섞어만든 수작입니다. 아직까지 약간의 밸런스 문제가 있긴 합니다. 게임의 문제에 대한 운영진들의 조치가 매우 빠르고 적절합니다.,5,2022년 1월 16일
계속즐길수있고. 현질유도거의없음. 필요한사람은 하면성장속도올라감. 꾸준하게하는게중요. 스킨수집.영웅수집이 이게임의포인트,5,2022년 1월 14일
게임도중 갑자기 검은화면으로 바뀌더니 껏다켜도 로딩에는 화면나오다가 플레이화면으로 바껴야될때 갑자기 다시 검은화면으로 뜨네요 무슨버그죠? 고칠수는있는건가? 갤럭시 s10 플러스 입니다 재밋었는데 빠른답변 요청합니다,3,2022년 2월 16일
게임을 해본유저로서 매우재밌다고 생각합니다. 다만 문제점이 구글계정으로 로그인하면 다른계정으로 로그인이 안된다는 점입니다. 덕분에 계정이 날라갔네요.. 복구부탁드립니다,5,2022년 1월 5일
플레이나 편의성이나 과금 유도 등 최근 한 게임 중에서 가장 재미있습니다. 그런데 제 폰만 이상한 건지 터치의 위치가 어긋나서 실제로 누른 곳과 눌려지는 곳의 이펙트가 어긋납니다. 버그인가요?,4,2022년 1월 9일
이 정도면 재밌고 준수한 게임. 모바일 게임 중에 과금유도도 그리 심하지 않은 편이라 무과금으로도 할만하다.,5,2022년 2월 27일
재미있는데 템포가 너무 느리고 우편도 계정 연동해야만 받을수있게 해놔서 리세도 못하고 스테이지 난이도는 확 올라가서 시원한 맛도 없고 클리어 비율 보상도 너무 짜고 한번얻으면 더 못얻어서 한정적이고 새로운 영웅을 얻어야 좀 흥미가 생길텐데 몇일째 얻은적도 없고 자연스럽게 손이 안가네요 리뷰 답변 달려있는것도 없네요 읽지도 않으시나,2,2022년 1월 20일
아니 난 좀비고에 1스테이지깨면 무료로 좀비고의 타는거 준다고 해서 깼는데 갑자기 4스테이지 까지 와버렸다. 너무 재밌다. 근데 아직까지 좀비고의 무료로 타는게 안들어왔다. 어떻해요. 근데 이겜 재밌네요. Good,5,2022년 2월 19일
광고를 보고 부활하면 튕겨요. 아니 30초 가량을 광고를 보고 튕기면 돈만 쳐 챙겨먹으시는 거잖아요. 심지어 튕겨가지고 보상도 안들어오고 ㅋㅋ,4,2022년 1월 16일
오늘 ( 2/17 ) 새벽부터 상점 정보를 불러올 수 없다며 들어가지지 않습니다. 버그인지 오류인지..아무튼 빠른 시일 내로 처리해주시면 감사하겠습니다. 빨리 이 겜 하고 싶어요,4,2022년 2월 17일
시간은 때울만한데 성장이나 이런부분에서 비용이 너무 많이들어간다는게 흠인 게임 영웅 렙업마다 비용이 두배씩 뛰는 느낌이라서 더힘든데 골드 수급이나 출석보상도 짠편,2,2022년 2월 19일
과금 요소가 적고 천천히 즐기는 게임. 반면 업데이트로 pvp컨텐츠가 주가 되버린다면 과금요소가 엄청날수있다.,5,2022년 2월 23일
재미있고 좋긴한데 영웅 소환할때 레벨이 높은 캐릭이 더 잘나오는 확률로 바꾸면 좋을거같아요. 원하는게 너무 안나와서 화딱지가 나서 진짜 못해먹겠네요. 운빨 이렇게 말하지 마세요 진짜 짜증나요.,3,2022년 1월 16일
킹갓캐슬이 재미있고 스릴있기도 하고 괜찮은데... 버그가 많습니다. 신의 소환서를 써서 뽑기를 하려는데 뽑기가 않되네요...,4,2022년 1월 16일
"개인적으론 좀 아쉽습니다, 소환서에서 영웅이 등장할 확률도 낮고 언데드 습격 단계부터 막히기 시작합니다. 전투에서 영웅을 소환하는게 랜덤이기에, 메인 딜러가 아닌 영웅(원거리 딜러, 힐러)이 나오면 게임 진행이 전혀 안됩니다. 보상도 많이 주면서 천천히 발전했으면 좋겠습니다!",2,2022년 1월 11일
다 좋은데 이번 업뎃땜에 아레나에서 이겨도 그 화면에서 멈추고 안돌아가져서 어쩔 수 없이 나가서 점수가 깎여요 패치좀 해주세요,5,2022년 2월 22일
안녕하세요 킹갓캐슬을 되게 즐기는 한 유저입니다. 저는 오늘 강적 습격이라는 모드를 하던 도중 갑자기 '빌드 오류가 떳으며 정상적인 루트로 플레이를 하세요'라는 문구와 함께 튕겨버리면서 접속하면 아무것도 뜨지 않는 상태가 되었습니다. 저는 버그는 물론 어떠한 악용도 일절도 모르며 하지 않았습니다. 이 사태를 해결해주시길 바랍니다.,5,2022년 1월 14일
게임 재미 있습니다. 앱 배포할 때 마켓스토어에 등록 완료된것 수동으로 확인하고 나서 버전 넘버링 업 처리 해주세요. 한 세 시간 접속을 못했습니다.,5,2022년 1월 23일
중간중간 오류와 버그들이 조금 짜증이 나지만 분명 재밌게 하고 있음 최근에는 빌드검증이 안됐다고 하면서 게임에서 팅기는데 깃발이나 고기가 자꾸 날라가서 겜 할 맛이 떨어진다 오류를 잡길바람,4,2021년 12월 28일
재미있긴 해요. 레벨25 이후부터 골드도 잘 쌓이고 그걸로 신규유닛도 뽑고 레벨업도 해줄수도있고 근대 광고제거가 없어요 진짜 패스사야 기간제 광고제거 얻을수 있고 무제한이 아니란게 너무아쉽,4,2022년 1월 14일
상점정보를 불러올 수 없다고 뜨는건 오류라고 인겜에서 보상까지 해줬는데 못알아듣는건가? 그리고 어려우면 렙 올려서 도전하세요,5,2022년 2월 21일
접속오류가 있습니다.. 업데이트도 했는데 자꾸 새 버전이 나왓다면서 튕깁니다. 어플 삭제도 해보고 휴대폰 전원듀 껐다 켜봤으나.. 여전히 안되네요.,3,2022년 1월 25일
분명.. 1챕터 도전8단계를 깼는데 깨고 나서부터 검은화면이더니 게임을 끄고 다시 켜도 검은화면만 반복이네용... ㅜㅜ 빠른 시일내에 고쳐지길 빕니다.,4,2022년 2월 16일
며칠전에 시작한 뉴비입니다 정말 재미있게 플레이하고 있는데 앱을 껏다켜야 연맹챗이 보이는 버그가 있네요 수정 부탁드립니다,5,2022년 2월 24일
"게임은 전체적으로 재밌는데 단점은 0티어 캐릭터들 (ex. 연, 한시, 청아) 이 없으면 게임 진행이 좀 버겁다는거?",4,2022년 1월 23일
